"Table 6b. Completed primary immunisations in children aged 5 years in England by upper tier local authority (UTLA), number",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,,
[z] not applicable,,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 5 years,Number aged 5 years vaccinated DTaP/IPV/Hib/HepB Prim vaccinated,Number aged 5 years vaccinated MMR1,Number aged 5 years vaccinated DTaP/IPV booster,Number aged 5 years vaccinated Hib/MenC booster,Number aged 5 years vaccinated MMR2
E06000041,Wokingham,South East,619,[z],1788,1714,1707,1594,1693,1631
E06000046,Isle of Wight,South East,803,[z],1102,1045,1035,940,1028,946
E10000030,Surrey,South East,805,[z],13978,13242,13044,11859,12858,12162
E10000032,West Sussex,South East,807,[z],9631,9064,9032,8278,8679,8459
E10000014,Hampshire,South East,812,[z],14728,14281,14192,13494,14092,13516
E06000044,Portsmouth,South East,813,[z],2455,2330,2316,2127,2292,2134
E06000045,Southampton,South East,814,[z],3265,3072,3051,2813,3006,2830
E10000011,East Sussex,South East,815,[z],5315,4917,4886,4505,4696,4565
E06000043,Brighton and Hove,South East,816,[z],2423,2216,2206,1971,2088,2043
E10000016,Kent,South East,820,[z],18731,17518,17334,15531,16492,15787
E06000035,Medway,South East,821,[z],4029,3680,3657,3220,3455,3285
E06000060,Buckinghamshire,South East,916,[z],6655,6382,6306,5893,6244,5970
E12000009,[z],South West,[z],[z],57650,55132,54643,50833,53883,51655
E06000058,"Bournemouth, Christchurch and Poole",South West,738,[z],"  4,089","  3,835","  3,814","  3,505","  3,608","  3,597"
E06000059,Dorset,South West,809,[z],2906,2815,2810,2658,2729,2689
E06000054,Wiltshire,South West,817,[z],5338,5148,5125,4840,5088,4898
E06000030,Swindon,South West,819,[z],2923,2760,2729,2496,2696,2546
E06000052,Cornwall,South West,902,[note 19],5310,5039,4952,4551,4899,4580
E10000013,Gloucestershire,South West,904,[z],7002,6717,6662,6266,6597,6356
E06000066,Somerset,South West,905,[z],5804,5560,5497,5121,5449,5198
E06000022,Bath and North East Somerset,South West,908,[z],1984,1912,1902,1781,1881,1808
E06000023,Bristol,South West,909,[z],5508,5171,5066,4605,5016,4697
E06000024,North Somerset,South West,910,[z],2274,2197,2188,2054,2159,2087
E06000025,South Gloucestershire,South West,911,[z],2986,2872,2860,2667,2828,2708
E10000008,Devon,South West,912,[z],7308,7045,6990,6543,6939,6663
E06000026,Plymouth,South West,913,[z],2984,2878,2870,2659,2832,2723
E06000027,Torbay,South West,914,[z],1234,1183,1178,1087,1162,1105
E12000005,[z],West Midlands,[z],[z],73228,68070,67300,60059,66245,61196
E10000031,Warwickshire,West Midlands,404,[z],6893,6549,6520,5971,6408,6066
E08000025,Birmingham,West Midlands,406,[z],16361,14484,14177,12028,13870,12355
E08000026,Coventry,West Midlands,407,[z],5034,4571,4523,3872,4375,3970
